timestamp_utc,pixel_x,pixel_y,body,az_deg,el_deg
2026-01-15T03:00:00Z,208.36,368.39,sirius,105.0,8.0
2026-01-15T03:15:00Z,676.8,107.33,betelgeuse,132.0,25.0
2026-01-15T03:30:00Z,975.3,306.33,rigel,150.0,13.0
2026-01-15T03:45:00Z,455.15,146.46,aldebaran,118.0,22.0
2026-01-15T04:00:00Z,503.94,454.96,procyon,122.0,4.0
2026-01-15T04:15:00Z,301.17,13.78,capella,108.0,28.0
2026-01-15T04:30:00Z,1155.31,199.59,regulus,160.0,18.0
2026-01-15T04:45:00Z,804.95,497.44,moon,140.0,2.0
2026-01-15T05:00:00Z,562.3,274.45,venus,125.0,15.0
2026-01-15T05:15:00Z,176.11,143.24,jupiter,102.0,20.0
2026-01-15T05:30:00Z,1072.54,426.17,mars,155.0,6.0
2026-01-15T05:45:00Z,647.86,62.9,pollux,130.0,27.5
